name,slug,address,latitude,longitude,parking_type,total_spaces,is_24h,open_time,close_time,fee_type,amount_yen,duration_minutes,fee_notes,restriction_name,max_length_mm,max_width_mm,max_height_mm,max_weight_kg,spaces_count,restriction_notes,source_url
豊玉北５丁目第６,repark-rep0025199,東京都練馬区豊玉北５丁目３ー１６,35.736652354891,139.65624438672,self_propelled,10,TRUE,,,hourly,350,20,,ハイルーフ,5000,1900,2000,2000,10,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0025199&st=4&pref=13
練馬３丁目第３,repark-rep0027129,東京都練馬区練馬３丁目２４ー４,35.738935319579,139.64908098751,self_propelled,3,TRUE,,,hourly,220,25,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027129&st=4&pref=13
豊玉北５丁目第３,repark-rep0008818,東京都練馬区豊玉北５丁目４ー１６,35.736280177163,139.65649993863,self_propelled,4,TRUE,,,hourly,250,15,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0008818&st=4&pref=13
豊玉北５丁目第４,repark-rep0009837,東京都練馬区豊玉北５丁目５ー１０,35.735830228638,139.65669160944,self_propelled,4,TRUE,,,hourly,250,30,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0009837&st=4&pref=13
豊玉中４丁目,repark-rep0014179,東京都練馬区豊玉中４丁目１１ー３１,35.73149725867,139.65094228643,self_propelled,6,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0014179&st=4&pref=13
練馬３丁目第２,repark-rep0027024,東京都練馬区練馬３丁目１４ー３,35.739096398697,139.64824216076,self_propelled,7,TRUE,,,hourly,110,15,,ハイルーフ,5000,1900,2000,2000,7,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0027024&st=4&pref=13
練馬１丁目,repark-rep0017220,東京都練馬区練馬１丁目１８ー１９,35.7392409445,139.65495548557,self_propelled,4,TRUE,,,hourly,220,15,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0017220&st=4&pref=13
豊玉北４丁目第３,repark-rep0023692,東京都練馬区豊玉北４丁目２８ー１９,35.736260751446,139.65742764048,self_propelled,2,TRUE,,,hourly,250,20,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0023692&st=4&pref=13
梅島１丁目第３,repark-rep0028028,東京都足立区梅島１丁目２５ー１,35.772392762162,139.80298055469,self_propelled,4,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028028&st=4&pref=13
足立中央本町２丁目,repark-rep0015104,東京都足立区中央本町２丁目９ー１４,35.771281827044,139.80624700156,self_propelled,3,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,3,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0015104&st=4&pref=13
梅島１丁目第２,repark-rep0008897,東京都足立区梅島１丁目６ー４,35.771612250446,139.80073633301,self_propelled,2,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,2,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0008897&st=4&pref=13
梅島１丁目第４,repark-rep0028069,東京都足立区梅島１丁目４ー１０,35.771112312216,139.80121131658,self_propelled,6,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,6,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0028069&st=4&pref=13
梅島２丁目第４,repark-rep0012932,東京都足立区梅島２丁目２０ー１５,35.776525573156,139.79840296655,self_propelled,4,TRUE,,,hourly,220,30,,ハイルーフ,5000,1900,2000,2000,4,,https://www.repark.jp/parking_user/time/result/detail/?park=REP0012932&st=4&pref=13
